/Users/apple/code/open-source/my-projects/web3-practice/.venv/bin/python /Users/apple/code/open-source/my-projects/web3-practice/main.py

block_number=12965341, burn=0.706266931891197222
block_number=12965342, burn=1.17524758990847364
block_number=12965343, burn=0.421690592964767632
block_number=12965344, burn=1.703267258648077214
block_number=12965345, burn=0.550757781642347136
block_number=12965346, burn=1.814331476987090204
block_number=12965347, burn=1.193928351592711125
block_number=12965348, burn=0
block_number=12965349, burn=1.2671239764302496
block_number=12965350, burn=0.215112999382459527
block_number=12965351, burn=1.722887721526488318
block_number=12965352, burn=0.779705723979760989
block_number=12965353, burn=1.89346950388434755
block_number=12965354, burn=0.923944320077769298
block_number=12965355, burn=1.185938062064894896
block_number=12965356, burn=1.537797798428273193
block_number=12965357, burn=0.151807739924392589
block_number=12965358, burn=2.012012489988525424
block_number=12965359, burn=1.318564548820286548
block_number=12965360, burn=0.142086685144957704
block_number=12965361, burn=2.05605460746236658
block_number=12965362, burn=2.221912353577358958
block_number=12965363, burn=0.146034451164393558
block_number=12965364, burn=2.293700865154717706
block_number=12965365, burn=1.250647456447970795
block_number=12965366, burn=0.21466191631980238
block_number=12965367, burn=1.835599731510165342
block_number=12965368, burn=1.116964852653874386
block_number=12965369, burn=2.453290574840350432
block_number=12965370, burn=1.43598209059905264
block_number=12965371, burn=1.225475094185545434
block_number=12965372, burn=1.30710198016005894
block_number=12965373, burn=0.052837716842912032
block_number=12965374, burn=2.392828692542644108
block_number=12965375, burn=0.9051579297064413
block_number=12965376, burn=0.349570038168382185
block_number=12965377, burn=2.343780290803755798
block_number=12965378, burn=0.35913351174761556
block_number=12965379, burn=0.684103614725345528
block_number=12965380, burn=0.594082490931030417
block_number=12965381, burn=2.13017953359027968
block_number=12965382, burn=0.28166205384614705
block_number=12965383, burn=2.162596716910827336
block_number=12965384, burn=0.92973429161673186
block_number=12965385, burn=0.681147352886341536
block_number=12965386, burn=2.233212290388136193
block_number=12965387, burn=0.076779904863885408
block_number=12965388, burn=2.212611131134173912
block_number=12965389, burn=1.325566937354805288
block_number=12965390, burn=1.704946560955665004
block_number=12965391, burn=2.625249144901842595
block_number=12965392, burn=0.862389558152424351
block_number=12965393, burn=1.32217363991327556
block_number=12965394, burn=2.198154605924156166
block_number=12965395, burn=0.330427563733888907
block_number=12965396, burn=0.616104166036066428
block_number=12965397, burn=2.50949436498780048
block_number=12965398, burn=0.024782075657573878
block_number=12965399, burn=2.47627337978123891
block_number=12965400, burn=0.804764582519954921
block_number=12965401, burn=2.353077051910986098
block_number=12965402, burn=0.143632965161909574
block_number=12965403, burn=2.04836874833098746
block_number=12965404, burn=2.75551581417667055
block_number=12965405, burn=0.828663387277982725
block_number=12965406, burn=0.60007802649976836
block_number=12965407, burn=2.496892865084507114
block_number=12965408, burn=0.11333618876585282
block_number=12965409, burn=0.03912430327805376
block_number=12965410, burn=2.324234804849058684
block_number=12965411, burn=1.0383118639618176
block_number=12965412, burn=0.449000064124057984
block_number=12965413, burn=2.337797332335317751
block_number=12965414, burn=1.732272064721782834
block_number=12965415, burn=0.648557150394643845
block_number=12965416, burn=0.399597141892536447
block_number=12965417, burn=2.339757325428213646
block_number=12965418, burn=1.148696219106270024
block_number=12965419, burn=2.163658146430627917
block_number=12965420, burn=0.565370917751165886
block_number=12965421, burn=2.601192616514436505
block_number=12965422, burn=0
block_number=12965423, burn=2.080485290893634625
block_number=12965424, burn=1.408087143842896798
block_number=12965425, burn=2.334596592403116297
block_number=12965426, burn=0.316957168977636
block_number=12965427, burn=0.970658051155335795
block_number=12965428, burn=1.316070102939253834
block_number=12965429, burn=1.400129605230963516
block_number=12965430, burn=0.60636012483277188
block_number=12965431, burn=2.130197865051469615
block_number=12965432, burn=1.211487925295663172
block_number=12965433, burn=0.163640268510255404
block_number=12965434, burn=2.358262089280532999
block_number=12965435, burn=2.649526504819962696
block_number=12965436, burn=0.719054632109840658
block_number=12965437, burn=2.782600512963760969
block_number=12965438, burn=0.443336695295104442
block_number=12965439, burn=1.20643406715691314
block_number=12965440, burn=2.8026144667619226
block_number=12965441, burn=0.813935537779995632
block_number=12965442, burn=0.754993695308778656
block_number=12965443, burn=2.788275676856024279
block_number=12965444, burn=0.42741372675677022
block_number=12965445, burn=2.144211884505270692
block_number=12965446, burn=0.671607701904487256
block_number=12965447, burn=0.979764499807768511
block_number=12965448, burn=1.35084916010847092
block_number=12965449, burn=1.514041432063120764
block_number=12965450, burn=0.366933205500329342
block_number=12965451, burn=0.05830451387174808
block_number=12965452, burn=2.19220951337852905
block_number=12965453, burn=0.527663173441054341
